cell_id,x,y,z,phi0
87,0.421513,0.301525,0.518221,0.298592
88,0.601757,0.89001,0.0599203,0.0319332
89,0.550881,0.917193,0.398369,0.0371961
90,0.606835,0.917193,0.440892,0.0387167
91,0.973065,0.725277,0.832863,0.0298843
92,0.585073,0.944795,0.421111,0.0335283
93,0.664836,0.917193,0.848965,0.02989
94,0.284987,0.836321,0.684498,0.0322415
95,0.881606,0.410165,0.66319,0.073754
96,0.689835,0.580627,0.130495,0.0739821
97,0.908541,0.412836,0.83851,0.0543664
98,0.860298,0.218395,0.684498,0.0892902
99,0.83899,0.239702,0.705806,0.100798
100,0.94613,0.225104,0.41616,0.0584745
101,0.686144,0.917193,0.827657,0.0295918
102,0.85159,0.091882,0.318004,0.0682663
103,0.665657,0.506225,0.915191,0.0784295
104,0.684994,0.944795,0.875939,0.0275354
105,0.124046,0.0306273,0.21794,0.0403575
106,0.135832,0.474088,0.514035,0.0883784
107,0.800591,0.972398,0.639251,0.0216452
108,0.0312945,0.881173,0.656158,0.0210507
109,0.327602,0.708474,0.194418,0.0446393
110,0.748888,0.944795,0.877996,0.025729
111,0.870952,0.69782,0.673844,0.040399
112,0.713235,0.972398,0.861346,0.0254226
113,0.767238,0.0612547,0.780137,0.103405
114,0.371283,0.238637,0.515101,0.319035
115,0.491571,0.150883,0.97173,0.465316
116,0.788385,0.0306273,0.731354,0.0704631
117,0.714385,0.944795,0.834373,0.027376
118,0.169304,0.921305,0.0853411,0.01933
119,0.214463,0.944795,0.179963,0.0219673
120,0.562099,0.726596,0.0299602,0.04351
121,0.849644,0.31428,0.865614,0.0837512
122,0.062589,0.537351,0.516317,0.0586328
123,0.94613,0.180859,0.380942,0.0600134
124,0.908541,0.208563,0.12349,0.0497096
125,0.689835,0.282318,0.151802,0.180502
126,0.932395,0.0712968,0.931061,0.0389068
127,0.668527,0.282318,0.17311,0.224215
128,0.919195,0.48879,0.491113,0.0597624
129,0.919195,0.660252,0.654484,0.0387471
130,0.753759,0.45278,0.769729,0.0982516
131,0.0312945,0.449556,0.923716,0.042477
132,0.657873,0.335588,0.141148,0.155595
133,0.700489,0.31428,0.141148,0.158726
134,0.550881,0.091882,0.355753,1.0462
135,0.679181,0.31428,0.162456,0.180888
136,0.274333,0.463434,0.844306,0.0774274
137,0.700489,0.676512,0.822998,0.0514886
138,0.668527,0.772398,0.130495,0.042361
139,0.316948,0.143817,0.332919,0.305162
140,0.274333,0.250356,0.290303,0.192143
141,0.908541,0.240772,0.215511,0.0601587
142,0.764413,0.165125,0.183764,0.116421
143,0.242371,0.410165,0.130495,0.0886119
144,0.746349,0.740549,0.0898805,0.0342593
145,0.230427,0.0306273,0.443071,0.0835331
146,0.210409,0.165125,0.247688,0.128656
147,0.212627,0.735596,0.518926,0.0407724
148,0.764413,0.740436,0.162456,0.0381206
149,0.881606,0.729782,0.322265,0.031909
150,0.78572,0.292972,0.524689,0.139295
151,0.685561,0.790953,0.943461,0.0382331
