cell_id,x,y,z,phi0
0,0.0862185,0.0853109,0.501691,0.0184593
1,0.973065,0.791193,0.619736,0.0313423
2,0.973065,0.840942,0.513537,0.0195659
3,0.94613,0.75342,0.852998,0.0278644
4,0.973065,0.832451,0.617135,0.0252278
5,0.686144,0.091882,0.848965,0.313517
6,0.231717,0.868283,0.822998,0.00476373
7,0.979665,0.931553,0.979665,0.00765322
8,0.255787,0.0306273,0.538735,0.0612482
9,0.395218,0.734789,0.0299602,0.00658875
10,0.167794,0.143817,0.482074,0.0707151
11,0.689835,0.282318,0.812345,0.31738
12,0.62216,0.360849,0.645871,0.117691
13,0.979665,0.0684473,0.979665,0.0123309
14,0.0790521,0.0537445,0.668855,0.0151706
15,0.0938836,0.48552,0.581511,0.159844
16,0.754441,0.0537445,0.949127,0.104078
17,0.189102,0.69782,0.822998,0.0213551
18,0.700489,0.846975,0.22638,0.00433637
19,0.979665,0.979665,0.931553,0.00458056
20,0.0546477,0.94705,0.18951,0.00785333
21,0.3923,0.0612547,0.628272,0.7034
22,0.210409,0.165125,0.60992,0.339378
23,0.0938836,0.706533,0.307737,0.0395436
24,0.919195,0.401255,0.414015,0.199836
25,0.860298,0.410165,0.386188,0.277133
26,0.439946,0.754522,0.915191,0.00640505
27,0.15714,0.815013,0.151802,0.00483127
28,0.756777,0.917193,0.49755,0.00465469
29,0.34718,0.942869,0.971034,0.00274644
30,0.976589,0.0244015,0.388677,0.0131884
31,0.809793,0.469906,0.100534,0.105502
32,0.0224111,0.953588,0.864618,0.00740192
33,0.817682,0.239702,0.684498,0.361775
34,0.284987,0.26101,0.727113,0.409864
35,0.349777,0.944795,0.81536,0.0029502
36,0.919195,0.744345,0.759856,0.0305675
37,0.874397,0.917193,0.174247,0.00529239
38,0.253025,0.229048,0.695152,0.317196
39,0.306295,0.197087,0.194418,0.476746
40,0.973065,0.639919,0.799256,0.0837587
41,0.309752,0.944232,0.893291,0.00281966
42,0.78572,0.250356,0.695152,0.384973
