cell_id,x,y,z,phi0
121,0.849644,0.31428,0.865614,0.0848531
122,0.062589,0.537351,0.516317,0.0568275
123,0.94613,0.180859,0.380942,0.0569997
124,0.908541,0.208563,0.12349,0.0469723
125,0.689835,0.282318,0.151802,0.172447
126,0.932395,0.0712968,0.931061,0.0391922
127,0.668527,0.282318,0.17311,0.215382
128,0.919195,0.48879,0.491113,0.0613244
129,0.919195,0.660252,0.654484,0.0405321
130,0.753759,0.45278,0.769729,0.100006
131,0.0312945,0.449556,0.923716,0.0421784
132,0.657873,0.335588,0.141148,0.146657
133,0.700489,0.31428,0.141148,0.152646
134,0.550881,0.091882,0.355753,1.01326
135,0.679181,0.31428,0.162456,0.174618
136,0.274333,0.463434,0.844306,0.0742196
137,0.700489,0.676512,0.822998,0.0507735
138,0.668527,0.772398,0.130495,0.0336096
139,0.316948,0.143817,0.332919,0.305379
140,0.274333,0.250356,0.290303,0.192925
141,0.908541,0.240772,0.215511,0.0568103
142,0.764413,0.165125,0.183764,0.109622
143,0.242371,0.410165,0.130495,0.0879733
144,0.746349,0.740549,0.0898805,0.0283073
145,0.230427,0.0306273,0.443071,0.0815718
146,0.210409,0.165125,0.247688,0.130787
147,0.212627,0.735596,0.518926,0.0404118
148,0.764413,0.740436,0.162456,0.0321905
149,0.881606,0.729782,0.322265,0.0317577
150,0.78572,0.292972,0.524689,0.13984
151,0.685561,0.790953,0.943461,0.0372429
152,0.849644,0.378203,0.737767,0.0717351
153,0.625912,0.516704,0.300957,0.105225
154,0.596517,0.917193,0.573912,0.0383208
155,0.689835,0.239702,0.300957,0.205724
156,0.135832,0.410165,0.66319,0.0696768
157,0.92264,0.919447,0.163888,0.0156268
158,0.828336,0.868283,0.567305,0.0263937
159,0.743105,0.250356,0.268995,0.1678
160,0.555989,0.972398,0.312242,0.0235798
161,0.973065,0.709579,0.344268,0.0339577
162,0.753759,0.75109,0.237034,0.0358946
163,0.199755,0.559319,0.833652,0.06044
164,0.369308,0.268498,0.487325,0.294332
165,0.230552,0.122992,0.97173,0.0803605
166,0.828336,0.868283,0.695152,0.0230639
167,0.764413,0.783052,0.141148,0.0287249
168,0.444795,0.740436,0.865614,0.0463401
169,0.0746698,0.952063,0.886686,0.0141866
170,0.66069,0.0306273,0.774234,0.21589
171,0.743105,0.761744,0.141148,0.0302075
172,0.919195,0.75367,0.161496,0.0267423
173,0.175191,0.366719,0.212231,0.0904428
174,0.550884,0.40037,0.915191,0.164189
175,0.323054,0.972398,0.497037,0.0303996
176,0.69226,0.33444,0.518983,0.18417
177,0.0938836,0.442904,0.602819,0.0603782
178,0.0780122,0.781294,0.97173,0.0209412
179,0.973065,0.780153,0.924537,0.0279134
180,0.870952,0.165125,0.737767,0.0670966
181,0.205893,0.571651,0.0898805,0.0536524
182,0.498065,0.857629,0.322265,0.0273617
183,0.78572,0.868283,0.673844,0.0300929
184,0.359564,0.633897,0.268995,0.0683145
185,0.625912,0.793705,0.620574,0.049337
186,0.274333,0.335588,0.865614,0.11749
187,0.15714,0.75109,0.215726,0.0397291
188,0.231717,0.165125,0.482074,0.167812
189,0.78572,0.633897,0.183764,0.043618
190,0.685731,0.917193,0.156736,0.0236431
191,0.15714,0.708474,0.258341,0.0456617
192,0.653697,0.749604,0.943461,0.0409648
193,0.54068,0.154471,0.386188,0.791115
194,0.40218,0.569973,0.268995,0.0861128
195,0.565801,0.395817,0.551024,0.167795
196,0.837886,0.944795,0.640804,0.0185497
197,0.199755,0.538012,0.194418,0.0691186
198,0.713212,0.862015,0.97173,0.0309243
199,0.860298,0.367549,0.85496,0.0775371
200,0.715007,0.972398,0.202262,0.0214904
201,0.94613,0.426611,0.46567,0.0615613
202,0.881606,0.197087,0.535343,0.0832774
203,0.40218,0.484742,0.141148,0.1062
204,0.125845,0.476339,0.276871,0.0623317
205,0.40218,0.229048,0.141148,0.313808
206,0.615258,0.250356,0.141148,0.298817
