cell_id,x,y,z,phi0
121,0.849644,0.31428,0.865614,0.0867065
122,0.062589,0.537351,0.516317,0.0540946
123,0.94613,0.180859,0.380942,0.0582742
124,0.908541,0.208563,0.12349,0.0470789
125,0.689835,0.282318,0.151802,0.175545
126,0.932395,0.0712968,0.931061,0.0410154
127,0.668527,0.282318,0.17311,0.221298
128,0.919195,0.48879,0.491113,0.0608435
129,0.919195,0.660252,0.654484,0.0419964
130,0.753759,0.45278,0.769729,0.103813
131,0.0312945,0.449556,0.923716,0.0389224
132,0.657873,0.335588,0.141148,0.154659
133,0.700489,0.31428,0.141148,0.155069
134,0.550881,0.091882,0.355753,1.03392
135,0.679181,0.31428,0.162456,0.179261
136,0.274333,0.463434,0.844306,0.0719019
137,0.700489,0.676512,0.822998,0.0526821
138,0.668527,0.772398,0.130495,0.0410417
139,0.316948,0.143817,0.332919,0.292471
140,0.274333,0.250356,0.290303,0.187107
141,0.908541,0.240772,0.215511,0.0564129
142,0.764413,0.165125,0.183764,0.108213
143,0.242371,0.410165,0.130495,0.0877517
144,0.746349,0.740549,0.0898805,0.0327028
145,0.230427,0.0306273,0.443071,0.082915
146,0.210409,0.165125,0.247688,0.125379
147,0.212627,0.735596,0.518926,0.0406543
148,0.764413,0.740436,0.162456,0.0368546
149,0.881606,0.729782,0.322265,0.0332277
150,0.78572,0.292972,0.524689,0.137116
151,0.685561,0.790953,0.943461,0.0378825
152,0.849644,0.378203,0.737767,0.0739789
153,0.625912,0.516704,0.300957,0.117752
154,0.596517,0.917193,0.573912,0.0422065
155,0.689835,0.239702,0.300957,0.205479
156,0.135832,0.410165,0.66319,0.0665345
157,0.92264,0.919447,0.163888,0.0169017
158,0.828336,0.868283,0.567305,0.0290878
159,0.743105,0.250356,0.268995,0.168085
160,0.555989,0.972398,0.312242,0.0282664
161,0.973065,0.709579,0.344268,0.0351285
162,0.753759,0.75109,0.237034,0.0419495
163,0.199755,0.559319,0.833652,0.0574964
164,0.369308,0.268498,0.487325,0.295293
165,0.230552,0.122992,0.97173,0.0760654
166,0.828336,0.868283,0.695152,0.0248255
167,0.764413,0.783052,0.141148,0.0331823
168,0.444795,0.740436,0.865614,0.0451169
169,0.0746698,0.952063,0.886686,0.0134432
170,0.66069,0.0306273,0.774234,0.224825
171,0.743105,0.761744,0.141148,0.0349054
172,0.919195,0.75367,0.161496,0.0276935
173,0.175191,0.366719,0.212231,0.0878102
174,0.550884,0.40037,0.915191,0.166074
175,0.323054,0.972398,0.497037,0.0306035
176,0.69226,0.33444,0.518983,0.185834
177,0.0938836,0.442904,0.602819,0.057734
178,0.0780122,0.781294,0.97173,0.0196042
179,0.973065,0.780153,0.924537,0.0275688
180,0.870952,0.165125,0.737767,0.0697531
181,0.205893,0.571651,0.0898805,0.0559052
182,0.498065,0.857629,0.322265,0.0312979
183,0.78572,0.868283,0.673844,0.0322497
184,0.359564,0.633897,0.268995,0.0759386
185,0.625912,0.793705,0.620574,0.0538262
186,0.274333,0.335588,0.865614,0.113045
187,0.15714,0.75109,0.215726,0.041603
188,0.231717,0.165125,0.482074,0.164357
189,0.78572,0.633897,0.183764,0.0468833
190,0.685731,0.917193,0.156736,0.0290492
191,0.15714,0.708474,0.258341,0.0473354
192,0.653697,0.749604,0.943461,0.0414929
193,0.54068,0.154471,0.386188,0.809625
194,0.40218,0.569973,0.268995,0.0951363
195,0.565801,0.395817,0.551024,0.179231
196,0.837886,0.944795,0.640804,0.0203651
197,0.199755,0.538012,0.194418,0.0713576
198,0.713212,0.862015,0.97173,0.0310143
199,0.860298,0.367549,0.85496,0.0785373
200,0.715007,0.972398,0.202262,0.0264333
201,0.94613,0.426611,0.46567,0.0597748
202,0.881606,0.197087,0.535343,0.0834026
203,0.40218,0.484742,0.141148,0.117585
204,0.125845,0.476339,0.276871,0.0621126
205,0.40218,0.229048,0.141148,0.322692
206,0.615258,0.250356,0.141148,0.312585
207,0.585108,0.505498,0.0599203,0.102263
208,0.879704,0.0612547,0.853748,0.0590657
209,0.0244015,0.388715,0.0235365,0.0397387
210,0.175798,0.270062,0.0705742,0.084819
211,0.135832,0.239702,0.151802,0.0825253
212,0.34532,0.875087,0.0599203,0.0361354
213,0.389188,0.972398,0.148899,0.0299372
214,0.976276,0.611143,0.0234511,0.0307197
215,0.349722,0.917193,0.179427,0.036088
216,0.700489,0.250356,0.22638,0.228037
217,0.280135,0.832586,0.0599203,0.0335811
218,0.973065,0.394551,0.734122,0.0502623
219,0.860298,0.218395,0.322265,0.0751939
220,0.319001,0.879152,0.0299602,0.033346
221,0.129956,0.751295,0.662999,0.0365175
222,0.973065,0.873371,0.554808,0.023826
223,0.269049,0.792143,0.0299602,0.0357941
224,0.625912,0.623243,0.130495,0.0780875
225,0.253768,0.851281,0.0898805,0.0285244
226,0.487411,0.143817,0.141148,0.758418
227,0.421519,0.211893,0.0599203,0.322663
228,0.199755,0.75109,0.705806,0.0388324
229,0.796374,0.45278,0.876268,0.0852501
230,0.193565,0.948908,0.055381,0.0207888
231,0.0938836,0.870537,0.152097,0.0226053
232,0.218809,0.925371,0.0299602,0.0234816
233,0.462052,0.748837,0.0299602,0.0427935
234,0.849644,0.335588,0.801691,0.0853792
235,0.0231172,0.759144,0.0467176,0.0257972
236,0.751896,0.948219,0.0530773,0.022396
237,0.0224111,0.973922,0.829398,0.0142326
238,0.919195,0.320006,0.826279,0.0577773
239,0.749568,0.091882,0.153811,0.127144
240,0.178096,0.0612547,0.717851,0.0617112
241,0.439373,0.917193,0.180604,0.0360841
242,0.554754,0.972398,0.922722,0.0209098
243,0.455449,0.197087,0.17311,0.403206
244,0.508269,0.421678,0.915191,0.142576
245,0.232461,0.829973,0.0898805,0.0304116
246,0.0312945,0.56072,0.27575,0.0437808
247,0.860298,0.815013,0.17311,0.0243342
248,0.189102,0.335588,0.822998,0.0917138
249,0.78572,0.783052,0.162456,0.0333546
250,0.698261,0.0306273,0.292634,0.155539
251,0.700489,0.676512,0.545997,0.0628471
252,0.78572,0.761744,0.183764,0.03511
253,0.837858,0.585039,0.915191,0.04996
254,0.870952,0.165125,0.695152,0.06933
255,0.253025,0.356895,0.865614,0.106124
256,0.668527,0.239702,0.812345,0.222057
257,0.420465,0.944795,0.678973,0.030107
258,0.973065,0.151797,0.79914,0.038928
259,0.952046,0.485551,0.547045,0.0500196
260,0.450128,0.972398,0.264849,0.0246145
261,0.923395,0.697287,0.0842268,0.0291279
262,0.0236295,0.974694,0.500084,0.0163678
263,0.860298,0.388857,0.66319,0.0845671
264,0.0516293,0.887353,0.0733354,0.0197993
265,0.767656,0.697934,0.0898805,0.0352639
266,0.476757,0.410165,0.85496,0.133961
267,0.743105,0.612589,0.162456,0.0454046
268,0.973065,0.732022,0.78705,0.0339442
269,0.391526,0.26101,0.812345,0.259272
270,0.919195,0.777563,0.827712,0.030271
271,0.0938836,0.320006,0.847586,0.0547335
272,0.135832,0.282318,0.620574,0.111003
